file,speaker,label,numeric_label,length (sec)
183.wav,Bernie Sanders,bona-fide,0,2.4550625
185.wav,Winston Churchill,bona-fide,0,4.8970625
187.wav,Bernie Sanders,bona-fide,0,1.2670625
188.wav,Milton Friedman,spoof,1,7.9790625
189.wav,Bernie Sanders,bona-fide,0,1.3150625
191.wav,Mark Zuckerberg,spoof,1,4.8170625
192.wav,Winston Churchill,bona-fide,0,2.06
194.wav,Bernie Sanders,bona-fide,0,5.52
196.wav,Bernie Sanders,bona-fide,0,6.5540625
198.wav,Bernie Sanders,bona-fide,0,1.2490625
200.wav,Donald Trump,bona-fide,0,3.128
201.wav,Donald Trump,bona-fide,0,3.144
202.wav,Ayn Rand,bona-fide,0,1.592
204.wav,Donald Trump,bona-fide,0,2.6920625
205.wav,Donald Trump,bona-fide,0,2.8740625
206.wav,Ayn Rand,bona-fide,0,4.343
207.wav,Jerry Seinfeld,spoof,1,1.3150625
208.wav,Bernie Sanders,bona-fide,0,2.7560625
209.wav,Nelson Mandela,spoof,1,2.5940625
211.wav,Ronald Reagan,spoof,1,4.5520625
212.wav,Ronald Reagan,bona-fide,0,6.451
214.wav,George W. Bush,spoof,1,2.089
216.wav,Mark Zuckerberg,bona-fide,0,2.1980625
218.wav,Donald Trump,bona-fide,0,2.0080625
219.wav,Donald Trump,bona-fide,0,6.091
220.wav,Ronald Reagan,bona-fide,0,3.093
222.wav,Donald Trump,bona-fide,0,4.9090625
224.wav,John Cleese,spoof,1,14.4160625
226.wav,Nelson Mandela,spoof,1,2.183
230.wav,Christopher Hitchens,bona-fide,0,3.915
231.wav,Frank Sinatra,spoof,1,6.466
232.wav,Alexandria Ocasio-Cortez,bona-fide,0,1.1140625
233.wav,Louis Farrakhan,bona-fide,0,2.344
234.wav,Winston Churchill,bona-fide,0,3.9300625
235.wav,Christopher Hitchens,bona-fide,0,3.966
237.wav,Christopher Hitchens,bona-fide,0,4.08
239.wav,Louis Farrakhan,bona-fide,0,3.162
240.wav,JFK,bona-fide,0,2.1310625
241.wav,Ronald Reagan,bona-fide,0,1.921
242.wav,Ayn Rand,bona-fide,0,1.664
243.wav,Donald Trump,bona-fide,0,2.9170625
245.wav,Ronald Reagan,bona-fide,0,5.102
246.wav,Martin Luther King,spoof,1,5.15
247.wav,Norm MacDonald,bona-fide,0,5.705
248.wav,Christopher Hitchens,bona-fide,0,1.946
250.wav,Donald Trump,bona-fide,0,4.2170625
253.wav,Alexandria Ocasio-Cortez,spoof,1,5.522
254.wav,Bernie Sanders,bona-fide,0,2.5720625
256.wav,Winston Churchill,bona-fide,0,1.548
259.wav,Bernie Sanders,bona-fide,0,2.173
260.wav,Donald Trump,bona-fide,0,3.852
262.wav,Arnold Schwarzenegger,bona-fide,0,1.72
263.wav,Ayn Rand,bona-fide,0,7.373
264.wav,Gilbert Gottfried,bona-fide,0,19.6160625
266.wav,Bernie Sanders,bona-fide,0,3.96
268.wav,Donald Trump,bona-fide,0,1.9850625
269.wav,Ayn Rand,spoof,1,4.621
271.wav,Ronald Reagan,spoof,1,3.392
273.wav,Mark Zuckerberg,spoof,1,6.624
274.wav,Bill Burr,bona-fide,0,1.9360625
277.wav,Ayn Rand,spoof,1,7.312
279.wav,Donald Trump,bona-fide,0,5.0160625
280.wav,Bernie Sanders,bona-fide,0,2.2540625
282.wav,Ayn Rand,spoof,1,5.581
283.wav,John Cleese,spoof,1,4.272
284.wav,Ayn Rand,bona-fide,0,5.192
285.wav,Winston Churchill,spoof,1,9.7990625
289.wav,Ayn Rand,bona-fide,0,1.2520625
290.wav,Donald Trump,bona-fide,0,7.291
291.wav,Winston Churchill,bona-fide,0,2.965
292.wav,Bernie Sanders,spoof,1,4.024
293.wav,Bernie Sanders,spoof,1,4.923
294.wav,Bernie Sanders,spoof,1,2.1120625
295.wav,Dwight Eisenhower,spoof,1,3.668
297.wav,Malcolm X,spoof,1,2.7790625
298.wav,Ayn Rand,bona-fide,0,0.95
299.wav,Donald Trump,bona-fide,0,3.069
303.wav,Louis Farrakhan,spoof,1,2.2480625
305.wav,Martin Luther King,bona-fide,0,6.191
307.wav,Ronald Reagan,spoof,1,4.343
308.wav,Ronald Reagan,bona-fide,0,1.7180625
309.wav,Bernie Sanders,bona-fide,0,2.9480625
310.wav,JFK,spoof,1,2.169
312.wav,Christopher Hitchens,spoof,1,8.1350625
313.wav,Nelson Mandela,bona-fide,0,2.1300625
314.wav,Christopher Hitchens,bona-fide,0,13.3150625
316.wav,Bernie Sanders,bona-fide,0,3.6080625
317.wav,Arnold Schwarzenegger,spoof,1,2.5960625
318.wav,Gilbert Gottfried,spoof,1,6.887
319.wav,Ronald Reagan,spoof,1,6.702
321.wav,Christopher Hitchens,bona-fide,0,0.6850625
323.wav,Louis Farrakhan,bona-fide,0,3.928
326.wav,Robert Kardashian,bona-fide,0,2.609
328.wav,Ronald Reagan,bona-fide,0,4.0350625
329.wav,John Cleese,bona-fide,0,2.666
330.wav,Bernie Sanders,bona-fide,0,3.926
332.wav,Malcolm X,bona-fide,0,1.112
335.wav,Bill Burr,bona-fide,0,5.253
336.wav,Robert Kardashian,bona-fide,0,2.1630625
337.wav,Bernie Sanders,bona-fide,0,2.0780625
338.wav,Ronald Reagan,spoof,1,2.701
339.wav,Ronald Reagan,spoof,1,5.9550625
340.wav,Ronald Reagan,bona-fide,0,2.0950625
342.wav,Frank Sinatra,spoof,1,3.7760625
344.wav,Kamala Harris,spoof,1,8.308
345.wav,Mark Zuckerberg,bona-fide,0,9.05
347.wav,George W. Bush,spoof,1,2.443
348.wav,Donald Trump,bona-fide,0,5.4930625
350.wav,Winston Churchill,bona-fide,0,1.536
353.wav,Orson Welles,spoof,1,3.6120625
354.wav,Martin Luther King,spoof,1,1.946
356.wav,Ronald Reagan,bona-fide,0,1.527
357.wav,Ronald Reagan,spoof,1,3.906
358.wav,Ayn Rand,bona-fide,0,3.5590625
359.wav,Louis Farrakhan,bona-fide,0,2.2740625
364.wav,Alexandria Ocasio-Cortez,bona-fide,0,6.648
367.wav,Winston Churchill,bona-fide,0,2.2290625
368.wav,Arnold Schwarzenegger,spoof,1,5.461
370.wav,Christopher Hitchens,bona-fide,0,3.4690625
371.wav,Louis Farrakhan,bona-fide,0,2.449
373.wav,Ayn Rand,bona-fide,0,1.2190625
374.wav,Christopher Hitchens,spoof,1,8.326
378.wav,Ayn Rand,bona-fide,0,3.562
379.wav,Christopher Hitchens,bona-fide,0,1.5390625
382.wav,Arnold Schwarzenegger,bona-fide,0,1.866
383.wav,Ronald Reagan,bona-fide,0,3.0270625
384.wav,Donald Trump,bona-fide,0,3.203
385.wav,Louis Farrakhan,bona-fide,0,0.869
386.wav,Christopher Hitchens,bona-fide,0,1.8230625
390.wav,Louis Farrakhan,spoof,1,7.3570625
391.wav,Ronald Reagan,spoof,1,1.9080625
392.wav,Donald Trump,spoof,1,0.7760625
395.wav,Martin Luther King,spoof,1,0.674
396.wav,Milton Friedman,bona-fide,0,4.5570625
397.wav,Mark Zuckerberg,spoof,1,9.886
398.wav,Bernie Sanders,spoof,1,3.648
400.wav,Donald Trump,bona-fide,0,2.0050625
401.wav,Winston Churchill,bona-fide,0,2.244
402.wav,Alan Watts,spoof,1,2.688
405.wav,Christopher Hitchens,bona-fide,0,5.7250625
406.wav,Donald Trump,bona-fide,0,5.4230625
407.wav,Donald Trump,bona-fide,0,2.62
408.wav,2Pac,spoof,1,2.313
409.wav,Bernie Sanders,bona-fide,0,3.3590625
410.wav,Boris Johnson,bona-fide,0,1.924
411.wav,Donald Trump,bona-fide,0,1.5670625
412.wav,JFK,bona-fide,0,2.962
413.wav,Donald Trump,bona-fide,0,2.9180625
414.wav,Dwight Eisenhower,bona-fide,0,2.914
415.wav,Christopher Hitchens,bona-fide,0,4.8250625
416.wav,Nelson Mandela,spoof,1,2.082
417.wav,Robert Kardashian,bona-fide,0,1.58
418.wav,Nick Offerman,bona-fide,0,1.1490625
421.wav,Bernie Sanders,spoof,1,1.3790625
422.wav,Bernie Sanders,spoof,1,6.989
423.wav,Louis Farrakhan,bona-fide,0,3.0250625
424.wav,Bernie Sanders,bona-fide,0,21.442
426.wav,Dwight Eisenhower,bona-fide,0,2.1140625
427.wav,Mark Zuckerberg,spoof,1,5.3980625
429.wav,Bernie Sanders,bona-fide,0,3.444
431.wav,Donald Trump,bona-fide,0,2.9370625
432.wav,Alan Watts,spoof,1,2.263
433.wav,Bob Ross,spoof,1,7.1950625
434.wav,Donald Trump,bona-fide,0,4.59
435.wav,JFK,bona-fide,0,3.7930625
436.wav,Mark Zuckerberg,bona-fide,0,10.3240625
437.wav,Boris Johnson,spoof,1,3.6590625
438.wav,Donald Trump,bona-fide,0,2.12
439.wav,Tucker Carlson,bona-fide,0,2.0960625
440.wav,Donald Trump,spoof,1,1.9550625
441.wav,Bernie Sanders,spoof,1,2.106
442.wav,Gilbert Gottfried,bona-fide,0,5.8880625
443.wav,Arnold Schwarzenegger,spoof,1,3.6540625
444.wav,Nelson Mandela,spoof,1,1.902
445.wav,Mark Zuckerberg,spoof,1,1.11
446.wav,Bernie Sanders,bona-fide,0,3.9740625
447.wav,Bernie Sanders,bona-fide,0,3.073
449.wav,Ayn Rand,bona-fide,0,2.531
450.wav,Ayn Rand,bona-fide,0,3.9340625
451.wav,Winston Churchill,spoof,1,14.572
452.wav,Bernie Sanders,bona-fide,0,2.961
453.wav,Donald Trump,bona-fide,0,4.4910625
454.wav,Ronald Reagan,spoof,1,5.402
455.wav,Robert Kardashian,bona-fide,0,3.8390625
456.wav,Donald Trump,bona-fide,0,2.105
457.wav,Ronald Reagan,spoof,1,4.002
458.wav,Christopher Hitchens,bona-fide,0,2.02
459.wav,Bernie Sanders,bona-fide,0,2.4240625
460.wav,Martin Luther King,spoof,1,3.984
462.wav,Ayn Rand,bona-fide,0,2.987
463.wav,Ronald Reagan,spoof,1,2.0280625
464.wav,Bernie Sanders,spoof,1,6.37
467.wav,Donald Trump,bona-fide,0,2.153
468.wav,Donald Trump,bona-fide,0,13.547
471.wav,Milton Friedman,bona-fide,0,2.4360625
474.wav,Donald Trump,spoof,1,6.7580625
475.wav,Christopher Hitchens,bona-fide,0,5.303
476.wav,Donald Trump,bona-fide,0,1.432
478.wav,Donald Trump,bona-fide,0,2.033
479.wav,Bernie Sanders,bona-fide,0,2.104
480.wav,Donald Trump,bona-fide,0,4.1120625
482.wav,Donald Trump,bona-fide,0,4.1870625
486.wav,Ayn Rand,bona-fide,0,2.5390625
489.wav,Gilbert Gottfried,spoof,1,2.1180625
490.wav,Gilbert Gottfried,spoof,1,8.8900625
491.wav,Norm MacDonald,spoof,1,3.3170625
492.wav,Ronald Reagan,spoof,1,6.284
493.wav,Milton Friedman,spoof,1,2.036
495.wav,Bernie Sanders,spoof,1,5.4320625
498.wav,Bernie Sanders,bona-fide,0,5.37
499.wav,Donald Trump,bona-fide,0,2.592
500.wav,Christopher Hitchens,bona-fide,0,5.221
501.wav,Christopher Hitchens,bona-fide,0,3.213
503.wav,Bernie Sanders,bona-fide,0,1.901
504.wav,Christopher Hitchens,bona-fide,0,2.491
505.wav,Milton Friedman,spoof,1,1.085
506.wav,Bernie Sanders,bona-fide,0,2.727
507.wav,Arnold Schwarzenegger,bona-fide,0,3.0450625
509.wav,Gilbert Gottfried,spoof,1,1.864
510.wav,Alan Watts,bona-fide,0,5.822
511.wav,Bill Burr,bona-fide,0,6.776
512.wav,Louis C.K.,spoof,1,4.1510625
516.wav,JFK,bona-fide,0,1.929
517.wav,Donald Trump,bona-fide,0,1.4360625
518.wav,Milton Friedman,bona-fide,0,3.3180625
523.wav,Louis Farrakhan,bona-fide,0,2.4700625
525.wav,Mark Zuckerberg,spoof,1,7.324
528.wav,Alan Watts,spoof,1,1.7680625
531.wav,Ronald Reagan,spoof,1,7.4710625
532.wav,John Cleese,bona-fide,0,5.209
533.wav,Donald Trump,bona-fide,0,2.3180625
536.wav,Winston Churchill,spoof,1,3.5770625
537.wav,JFK,spoof,1,2.341
539.wav,Bernie Sanders,bona-fide,0,1.7390625
540.wav,Ayn Rand,spoof,1,5.8680625
541.wav,Ayn Rand,spoof,1,5.2130625
542.wav,Louis Farrakhan,spoof,1,7.207
543.wav,Winston Churchill,bona-fide,0,2.4960625
545.wav,Milton Friedman,spoof,1,11.2320625
546.wav,Bernie Sanders,spoof,1,8.5350625
548.wav,Bernie Sanders,bona-fide,0,1.64
549.wav,JFK,spoof,1,2.3510625
550.wav,Mark Zuckerberg,spoof,1,1.303
551.wav,Donald Trump,bona-fide,0,2.2570625
552.wav,Alexandria Ocasio-Cortez,bona-fide,0,13.4710625
553.wav,Donald Trump,bona-fide,0,4.089
554.wav,Winston Churchill,bona-fide,0,2.7860625
555.wav,Donald Trump,bona-fide,0,14.5700625
556.wav,Donald Trump,bona-fide,0,1.367
559.wav,Ayn Rand,bona-fide,0,4.524
560.wav,Malcolm X,spoof,1,8.851
564.wav,Mark Zuckerberg,bona-fide,0,9.609
568.wav,Adam Driver,bona-fide,0,10.141
569.wav,Bernie Sanders,spoof,1,8.8170625
571.wav,Christopher Hitchens,spoof,1,2.49
573.wav,Christopher Hitchens,spoof,1,4.449
575.wav,2Pac,bona-fide,0,20.031
576.wav,Bernie Sanders,bona-fide,0,4.2030625
577.wav,Christopher Hitchens,spoof,1,3.749
578.wav,Ayn Rand,spoof,1,8.841
581.wav,JFK,bona-fide,0,2.163
582.wav,Donald Trump,bona-fide,0,5.329
583.wav,Christopher Hitchens,bona-fide,0,4.302
584.wav,Christopher Hitchens,bona-fide,0,4.189
585.wav,Christopher Hitchens,bona-fide,0,5.486
586.wav,Robert Kardashian,spoof,1,0.7780625
588.wav,Christopher Hitchens,bona-fide,0,1.583
590.wav,Alexandria Ocasio-Cortez,bona-fide,0,2.447
591.wav,Bernie Sanders,bona-fide,0,3.427
592.wav,Bernie Sanders,spoof,1,6.849
593.wav,Christopher Hitchens,spoof,1,5.3950625
594.wav,Bernie Sanders,spoof,1,11.29
595.wav,Winston Churchill,bona-fide,0,2.7870625
596.wav,Donald Trump,bona-fide,0,2.143
597.wav,Christopher Hitchens,spoof,1,2.894
598.wav,Winston Churchill,bona-fide,0,2.864
600.wav,Martin Luther King,bona-fide,0,1.8540625
601.wav,Bernie Sanders,bona-fide,0,3.7700625
602.wav,Donald Trump,bona-fide,0,1.884
603.wav,Mark Zuckerberg,bona-fide,0,6.841
605.wav,Donald Trump,spoof,1,1.6550625
607.wav,Donald Trump,bona-fide,0,4.309
608.wav,Lyndon Johnson,bona-fide,0,5.1360625
609.wav,Martin Luther King,spoof,1,4.55
610.wav,Bernie Sanders,bona-fide,0,4.254
611.wav,Bernie Sanders,bona-fide,0,1.966
612.wav,Ronald Reagan,bona-fide,0,3.702
613.wav,Bernie Sanders,bona-fide,0,2.2690625
615.wav,Ayn Rand,bona-fide,0,6.262
616.wav,Mark Zuckerberg,spoof,1,2.603
617.wav,Ronald Reagan,bona-fide,0,4.4520625
618.wav,Martin Luther King,bona-fide,0,2.507
619.wav,Arnold Schwarzenegger,bona-fide,0,2.24
621.wav,Mark Zuckerberg,spoof,1,5.143
624.wav,Mark Zuckerberg,bona-fide,0,5.622
625.wav,Ronald Reagan,spoof,1,1.632
627.wav,Mark Zuckerberg,spoof,1,2.8160625
630.wav,Martin Luther King,bona-fide,0,3.6940625
632.wav,Winston Churchill,bona-fide,0,2.172
633.wav,Ayn Rand,spoof,1,7.088
634.wav,Bernie Sanders,spoof,1,5.1810625
636.wav,Donald Trump,spoof,1,2.1680625
638.wav,Donald Trump,bona-fide,0,3.3500625
639.wav,Martin Luther King,spoof,1,4.4510625
641.wav,Martin Luther King,spoof,1,3.0750625
643.wav,Donald Trump,bona-fide,0,2.0930625
644.wav,Bernie Sanders,bona-fide,0,7.0980625
645.wav,Donald Trump,bona-fide,0,10.176
646.wav,Bill Burr,bona-fide,0,1.2520625
647.wav,Ronald Reagan,spoof,1,3.306
648.wav,Milton Friedman,bona-fide,0,8.6710625
649.wav,Donald Trump,bona-fide,0,2.102
650.wav,Nick Offerman,bona-fide,0,5.721
651.wav,Bernie Sanders,spoof,1,8.4130625
655.wav,Alan Watts,spoof,1,2.026
658.wav,Donald Trump,bona-fide,0,4.9760625
659.wav,Christopher Hitchens,spoof,1,9.544
661.wav,Christopher Hitchens,spoof,1,5.8700625
663.wav,Donald Trump,spoof,1,3.847
664.wav,Ayn Rand,spoof,1,5.42
665.wav,Christopher Hitchens,bona-fide,0,8.541
667.wav,Donald Trump,bona-fide,0,3.6630625
670.wav,Christopher Hitchens,bona-fide,0,1.762
671.wav,Robert Kardashian,bona-fide,0,2.7160625
678.wav,Mark Zuckerberg,bona-fide,0,2.009
682.wav,George W. Bush,spoof,1,1.4990625
684.wav,Alexandria Ocasio-Cortez,bona-fide,0,3.0590625
685.wav,Bernie Sanders,spoof,1,2.422
686.wav,Arnold Schwarzenegger,bona-fide,0,1.523
687.wav,2Pac,spoof,1,0.6780625
688.wav,Norm MacDonald,spoof,1,6.2230625
689.wav,Dwight Eisenhower,bona-fide,0,3.36
691.wav,Louis Farrakhan,bona-fide,0,2.4490625
692.wav,Louis Farrakhan,spoof,1,6.164
693.wav,Bernie Sanders,bona-fide,0,3.1100625
694.wav,Donald Trump,bona-fide,0,6.082
696.wav,Ronald Reagan,spoof,1,2.402
697.wav,Donald Trump,bona-fide,0,1.762
700.wav,Mr. Rogers,bona-fide,0,2.4380625
702.wav,Bernie Sanders,bona-fide,0,2.3190625
703.wav,Bill Burr,spoof,1,7.588
705.wav,Louis Farrakhan,bona-fide,0,2.3980625
706.wav,Mark Zuckerberg,bona-fide,0,1.704
708.wav,Ayn Rand,spoof,1,8.506
709.wav,Ayn Rand,spoof,1,3.8590625
710.wav,Bernie Sanders,bona-fide,0,7.06
712.wav,George W. Bush,spoof,1,1.4570625
713.wav,JFK,bona-fide,0,4.736
714.wav,Donald Trump,bona-fide,0,3.073
715.wav,Bernie Sanders,spoof,1,2.094
717.wav,Mark Zuckerberg,spoof,1,5.3160625
718.wav,Bernie Sanders,spoof,1,2.683
720.wav,Mark Zuckerberg,spoof,1,7.748
722.wav,Ronald Reagan,spoof,1,6.4790625
723.wav,Arnold Schwarzenegger,bona-fide,0,1.6150625
724.wav,Ayn Rand,bona-fide,0,3.6980625
725.wav,Boris Johnson,bona-fide,0,1.5790625
726.wav,Ayn Rand,bona-fide,0,4.356
727.wav,JFK,bona-fide,0,2.61
728.wav,Jerry Seinfeld,spoof,1,2.4940625
730.wav,JFK,bona-fide,0,3.4340625
732.wav,Mark Zuckerberg,spoof,1,2.6780625
735.wav,Ayn Rand,bona-fide,0,1.2450625
736.wav,Bernie Sanders,bona-fide,0,4.2960625
738.wav,Louis Farrakhan,bona-fide,0,1.461
739.wav,Winston Churchill,bona-fide,0,6.5990625
740.wav,Donald Trump,bona-fide,0,4.705
742.wav,Robert Kardashian,bona-fide,0,2.5770625
744.wav,Martin Luther King,bona-fide,0,6.3790625
745.wav,Bernie Sanders,bona-fide,0,2.6760625
747.wav,Donald Trump,bona-fide,0,3.201
748.wav,Ayn Rand,bona-fide,0,4.9
749.wav,Bernie Sanders,spoof,1,2.5910625
750.wav,Louis Farrakhan,bona-fide,0,2.131
751.wav,Ayn Rand,bona-fide,0,2.9390625
752.wav,Martin Luther King,bona-fide,0,3.1930625
755.wav,Christopher Hitchens,bona-fide,0,5.964
756.wav,Bernie Sanders,spoof,1,2.253
757.wav,Ronald Reagan,bona-fide,0,4.4130625
759.wav,Louis Farrakhan,bona-fide,0,1.702
761.wav,Donald Trump,bona-fide,0,3.144
762.wav,Alan Watts,bona-fide,0,1.5280625
763.wav,Norm MacDonald,spoof,1,17.452
766.wav,Ronald Reagan,bona-fide,0,3.4190625
767.wav,Donald Trump,bona-fide,0,6.374
768.wav,Ronald Reagan,spoof,1,1.962
770.wav,Christopher Hitchens,spoof,1,4.7270625
771.wav,Donald Trump,bona-fide,0,3.883
772.wav,Donald Trump,bona-fide,0,7.1720625
773.wav,Bill Burr,spoof,1,8.092
777.wav,Malcolm X,bona-fide,0,11.86
778.wav,Boris Johnson,bona-fide,0,0.97
779.wav,Donald Trump,bona-fide,0,1.8
780.wav,Jeff Goldblum,bona-fide,0,2.761
781.wav,Milton Friedman,spoof,1,2.2690625
784.wav,Mark Zuckerberg,spoof,1,9.786
785.wav,Arnold Schwarzenegger,bona-fide,0,6.5670625
787.wav,Ayn Rand,spoof,1,8.72
789.wav,Ayn Rand,bona-fide,0,3.6750625
791.wav,Arnold Schwarzenegger,spoof,1,7.364
792.wav,Ayn Rand,bona-fide,0,1.186
793.wav,Lyndon Johnson,bona-fide,0,2.3110625
795.wav,Bill Burr,spoof,1,10.2500625
796.wav,Ayn Rand,bona-fide,0,9.9870625
797.wav,Scarlett Johansson,spoof,1,15.021
798.wav,Ayn Rand,spoof,1,2.5760625
799.wav,Bernie Sanders,bona-fide,0,3.3170625
800.wav,Ronald Reagan,spoof,1,6.43
801.wav,JFK,bona-fide,0,3.1070625
802.wav,Ayn Rand,spoof,1,4.363
803.wav,Winston Churchill,spoof,1,3.1
806.wav,Ronald Reagan,bona-fide,0,2.543
807.wav,Bernie Sanders,spoof,1,9.3340625
808.wav,Christopher Hitchens,bona-fide,0,3.032
809.wav,Nelson Mandela,spoof,1,8.9380625
811.wav,Kanye West,spoof,1,1.1570625
812.wav,Bernie Sanders,bona-fide,0,3.8
814.wav,Donald Trump,bona-fide,0,1.143
815.wav,Winston Churchill,bona-fide,0,2.428
816.wav,Bernie Sanders,spoof,1,1.609
817.wav,Louis Farrakhan,bona-fide,0,2.761
822.wav,Ayn Rand,spoof,1,3.432
