file,speaker,label,numeric_label,length (sec)
96.wav,Alec Guinness,bona-fide,0,1.28
97.wav,Barack Obama,bona-fide,0,5.092
98.wav,Bernie Sanders,bona-fide,0,13.7580625
99.wav,Bill Burr,bona-fide,0,1.984
100.wav,Alexandria Ocasio-Cortez,bona-fide,0,2.884
101.wav,Christopher Hitchens,spoof,1,1.9100625
102.wav,Milton Friedman,bona-fide,0,4.7730625
103.wav,Bernie Sanders,spoof,1,7.6090625
104.wav,Bernie Sanders,bona-fide,0,3.441
105.wav,Christopher Hitchens,bona-fide,0,2.9030625
106.wav,FDR,bona-fide,0,5.0520625
107.wav,Alec Guinness,spoof,1,5.3630625
108.wav,Donald Trump,bona-fide,0,1.723
109.wav,Arnold Schwarzenegger,bona-fide,0,1.972
110.wav,Milton Friedman,spoof,1,3.397
111.wav,Barack Obama,bona-fide,0,2.6280625
112.wav,Barack Obama,bona-fide,0,4.0550625
113.wav,Donald Trump,bona-fide,0,15.2770625
114.wav,Ayn Rand,spoof,1,1.523
115.wav,Bill Clinton,bona-fide,0,1.2150625
116.wav,FDR,spoof,1,4.979
117.wav,Alan Watts,spoof,1,1.249
118.wav,Bernie Sanders,spoof,1,3.062
119.wav,Barack Obama,bona-fide,0,4.6670625
120.wav,Barack Obama,bona-fide,0,2.2340625
121.wav,Ayn Rand,bona-fide,0,1.267
122.wav,FDR,spoof,1,2.7090625
123.wav,Donald Trump,bona-fide,0,1.869
124.wav,Barack Obama,bona-fide,0,2.8890625
125.wav,Donald Trump,bona-fide,0,1.3900625
126.wav,Mitch Hedberg,spoof,1,11.881
127.wav,George W. Bush,spoof,1,5.2350625
128.wav,Alan Watts,spoof,1,4.4690625
129.wav,Milton Friedman,bona-fide,0,6.1990625
130.wav,Bernie Sanders,bona-fide,0,1.583
131.wav,Bill Clinton,bona-fide,0,2.803
132.wav,JFK,spoof,1,3.882
133.wav,Barack Obama,bona-fide,0,1.196
134.wav,Donald Trump,bona-fide,0,9.0740625
135.wav,Bernie Sanders,spoof,1,1.433
136.wav,Alec Guinness,spoof,1,7.228
137.wav,Bill Clinton,bona-fide,0,2.7
138.wav,Donald Trump,spoof,1,23.304
139.wav,Bernie Sanders,spoof,1,8.281
140.wav,Alec Guinness,bona-fide,0,4.236
141.wav,Mark Zuckerberg,bona-fide,0,3.649
142.wav,Mark Zuckerberg,bona-fide,0,5.4290625
143.wav,Ayn Rand,bona-fide,0,4.6270625
144.wav,Queen Elizabeth II,spoof,1,1.847
145.wav,Barack Obama,bona-fide,0,1.91
146.wav,The Notorious B.I.G.,spoof,1,1.0590625
147.wav,Alec Guinness,bona-fide,0,1.7
148.wav,Jerry Seinfeld,spoof,1,4.0320625
149.wav,Martin Luther King,bona-fide,0,0.881
150.wav,Queen Elizabeth II,spoof,1,3.283
151.wav,Martin Luther King,bona-fide,0,2.69
152.wav,Christopher Hitchens,bona-fide,0,1.884
153.wav,2Pac,spoof,1,1.0270625
154.wav,Winston Churchill,bona-fide,0,1.9590625
155.wav,Alec Guinness,spoof,1,7.925
156.wav,Martin Luther King,bona-fide,0,3.0880625
157.wav,Bill Clinton,bona-fide,0,3.749
158.wav,Donald Trump,bona-fide,0,11.58
159.wav,Bernie Sanders,spoof,1,4.5550625
160.wav,Martin Luther King,bona-fide,0,1.583
161.wav,Donald Trump,bona-fide,0,1.984
162.wav,Donald Trump,bona-fide,0,3.7350625
163.wav,Alec Guinness,spoof,1,2.4090625
164.wav,Barack Obama,bona-fide,0,2.1370625
165.wav,George W. Bush,spoof,1,8.6590625
166.wav,Alec Guinness,bona-fide,0,1.701
167.wav,Ayn Rand,bona-fide,0,5.03
168.wav,Alec Guinness,bona-fide,0,6.977
169.wav,Ayn Rand,bona-fide,0,2.641
170.wav,Tucker Carlson,spoof,1,3.017
171.wav,Donald Trump,bona-fide,0,3.933
172.wav,Ayn Rand,spoof,1,6.2470625
173.wav,Christopher Hitchens,bona-fide,0,1.3140625
174.wav,Alec Guinness,spoof,1,14.885
175.wav,Nelson Mandela,spoof,1,1.045
176.wav,Barack Obama,bona-fide,0,1.4790625
177.wav,JFK,bona-fide,0,1.9580625
178.wav,Ronald Reagan,bona-fide,0,5.46
179.wav,Ayn Rand,spoof,1,7.351
180.wav,Donald Trump,bona-fide,0,4.2460625
181.wav,Christopher Hitchens,bona-fide,0,4.2180625
182.wav,Ayn Rand,spoof,1,15.0720625
183.wav,Bernie Sanders,bona-fide,0,2.4550625
184.wav,Barack Obama,spoof,1,1.5320625
185.wav,Winston Churchill,bona-fide,0,4.8970625
186.wav,Alec Guinness,spoof,1,2.4570625
187.wav,Bernie Sanders,bona-fide,0,1.2670625
188.wav,Milton Friedman,spoof,1,7.9790625
189.wav,Bernie Sanders,bona-fide,0,1.3150625
190.wav,Barack Obama,spoof,1,4.5300625
191.wav,Mark Zuckerberg,spoof,1,4.8170625
192.wav,Winston Churchill,bona-fide,0,2.06
193.wav,The Notorious B.I.G.,spoof,1,1.5760625
194.wav,Bernie Sanders,bona-fide,0,5.52
195.wav,Barack Obama,bona-fide,0,0.8320625
196.wav,Bernie Sanders,bona-fide,0,6.5540625
197.wav,Barack Obama,bona-fide,0,5.0290625
198.wav,Bernie Sanders,bona-fide,0,1.2490625
199.wav,Barack Obama,bona-fide,0,1.9940625
200.wav,Donald Trump,bona-fide,0,3.128
201.wav,Donald Trump,bona-fide,0,3.144
202.wav,Ayn Rand,bona-fide,0,1.592
203.wav,Barack Obama,bona-fide,0,1.7460625
204.wav,Donald Trump,bona-fide,0,2.6920625
205.wav,Donald Trump,bona-fide,0,2.8740625
206.wav,Ayn Rand,bona-fide,0,4.343
207.wav,Jerry Seinfeld,spoof,1,1.3150625
208.wav,Bernie Sanders,bona-fide,0,2.7560625
209.wav,Nelson Mandela,spoof,1,2.5940625
210.wav,Alec Guinness,bona-fide,0,2.4670625
211.wav,Ronald Reagan,spoof,1,4.5520625
212.wav,Ronald Reagan,bona-fide,0,6.451
213.wav,FDR,bona-fide,0,2.2580625
214.wav,George W. Bush,spoof,1,2.089
215.wav,Alec Guinness,spoof,1,7.961
216.wav,Mark Zuckerberg,bona-fide,0,2.1980625
217.wav,Richard Nixon,bona-fide,0,1.785
218.wav,Donald Trump,bona-fide,0,2.0080625
219.wav,Donald Trump,bona-fide,0,6.091
220.wav,Ronald Reagan,bona-fide,0,3.093
221.wav,Richard Nixon,bona-fide,0,5.0320625
222.wav,Donald Trump,bona-fide,0,4.9090625
223.wav,Barack Obama,bona-fide,0,10.5060625
224.wav,John Cleese,spoof,1,14.4160625
225.wav,Bill Clinton,spoof,1,2.615
226.wav,Nelson Mandela,spoof,1,2.183
227.wav,Barack Obama,bona-fide,0,4.152
228.wav,Alec Guinness,bona-fide,0,3.462
229.wav,The Notorious B.I.G.,spoof,1,1.8310625
230.wav,Christopher Hitchens,bona-fide,0,3.915
231.wav,Frank Sinatra,spoof,1,6.466
232.wav,Alexandria Ocasio-Cortez,bona-fide,0,1.1140625
233.wav,Louis Farrakhan,bona-fide,0,2.344
234.wav,Winston Churchill,bona-fide,0,3.9300625
235.wav,Christopher Hitchens,bona-fide,0,3.966
236.wav,Alec Guinness,spoof,1,1.483
237.wav,Christopher Hitchens,bona-fide,0,4.08
238.wav,Bill Clinton,bona-fide,0,4.607
239.wav,Louis Farrakhan,bona-fide,0,3.162
240.wav,JFK,bona-fide,0,2.1310625
241.wav,Ronald Reagan,bona-fide,0,1.921
242.wav,Ayn Rand,bona-fide,0,1.664
243.wav,Donald Trump,bona-fide,0,2.9170625
244.wav,Barack Obama,bona-fide,0,4.8700625
245.wav,Ronald Reagan,bona-fide,0,5.102
246.wav,Martin Luther King,spoof,1,5.15
247.wav,Norm MacDonald,bona-fide,0,5.705
248.wav,Christopher Hitchens,bona-fide,0,1.946
249.wav,Alec Guinness,bona-fide,0,2.5190625
250.wav,Donald Trump,bona-fide,0,4.2170625
251.wav,Barack Obama,spoof,1,5.2160625
252.wav,Queen Elizabeth II,bona-fide,0,0.75
253.wav,Alexandria Ocasio-Cortez,spoof,1,5.522
254.wav,Bernie Sanders,bona-fide,0,2.5720625
255.wav,Alec Guinness,bona-fide,0,3.217
256.wav,Winston Churchill,bona-fide,0,1.548
257.wav,Richard Nixon,spoof,1,7.3790625
258.wav,Barack Obama,bona-fide,0,2.5570625
259.wav,Bernie Sanders,bona-fide,0,2.173
260.wav,Donald Trump,bona-fide,0,3.852
261.wav,Alec Guinness,spoof,1,2.3390625
262.wav,Arnold Schwarzenegger,bona-fide,0,1.72
263.wav,Ayn Rand,bona-fide,0,7.373
264.wav,Gilbert Gottfried,bona-fide,0,19.6160625
265.wav,Alec Guinness,spoof,1,5.9710625
266.wav,Bernie Sanders,bona-fide,0,3.96
267.wav,Alec Guinness,spoof,1,2.7350625
268.wav,Donald Trump,bona-fide,0,1.9850625
269.wav,Ayn Rand,spoof,1,4.621
270.wav,Queen Elizabeth II,spoof,1,5.405
271.wav,Ronald Reagan,spoof,1,3.392
272.wav,Barack Obama,bona-fide,0,6.4730625
273.wav,Mark Zuckerberg,spoof,1,6.624
274.wav,Bill Burr,bona-fide,0,1.9360625
275.wav,Alec Guinness,spoof,1,6.68
276.wav,Barack Obama,bona-fide,0,4.674
277.wav,Ayn Rand,spoof,1,7.312
278.wav,Bill Clinton,spoof,1,10.383
279.wav,Donald Trump,bona-fide,0,5.0160625
280.wav,Bernie Sanders,bona-fide,0,2.2540625
281.wav,Barack Obama,bona-fide,0,3.206
282.wav,Ayn Rand,spoof,1,5.581
283.wav,John Cleese,spoof,1,4.272
284.wav,Ayn Rand,bona-fide,0,5.192
285.wav,Winston Churchill,spoof,1,9.7990625
286.wav,George Carlin,bona-fide,0,1.6370625
287.wav,Bill Clinton,spoof,1,2.045
288.wav,Barack Obama,bona-fide,0,5.0370625
289.wav,Ayn Rand,bona-fide,0,1.2520625
290.wav,Donald Trump,bona-fide,0,7.291
291.wav,Winston Churchill,bona-fide,0,2.965
292.wav,Bernie Sanders,spoof,1,4.024
293.wav,Bernie Sanders,spoof,1,4.923
294.wav,Bernie Sanders,spoof,1,2.1120625
295.wav,Dwight Eisenhower,spoof,1,3.668
296.wav,Alec Guinness,spoof,1,2.038
297.wav,Malcolm X,spoof,1,2.7790625
298.wav,Ayn Rand,bona-fide,0,0.95
299.wav,Donald Trump,bona-fide,0,3.069
300.wav,Bill Clinton,bona-fide,0,2.283
301.wav,Barack Obama,bona-fide,0,2.935
302.wav,Alec Guinness,spoof,1,3.0940625
303.wav,Louis Farrakhan,spoof,1,2.2480625
304.wav,Barack Obama,bona-fide,0,3.629
305.wav,Martin Luther King,bona-fide,0,6.191
306.wav,George Carlin,bona-fide,0,1.411
307.wav,Ronald Reagan,spoof,1,4.343
308.wav,Ronald Reagan,bona-fide,0,1.7180625
309.wav,Bernie Sanders,bona-fide,0,2.9480625
310.wav,JFK,spoof,1,2.169
311.wav,Barack Obama,bona-fide,0,1.767
312.wav,Christopher Hitchens,spoof,1,8.1350625
313.wav,Nelson Mandela,bona-fide,0,2.1300625
314.wav,Christopher Hitchens,bona-fide,0,13.3150625
315.wav,Barack Obama,bona-fide,0,1.249
316.wav,Bernie Sanders,bona-fide,0,3.6080625
317.wav,Arnold Schwarzenegger,spoof,1,2.5960625
318.wav,Gilbert Gottfried,spoof,1,6.887
319.wav,Ronald Reagan,spoof,1,6.702
320.wav,FDR,bona-fide,0,3.669
321.wav,Christopher Hitchens,bona-fide,0,0.6850625
322.wav,Barack Obama,bona-fide,0,2.5770625
323.wav,Louis Farrakhan,bona-fide,0,3.928
324.wav,Barack Obama,spoof,1,9.7520625
325.wav,Barack Obama,bona-fide,0,2.8520625
326.wav,Robert Kardashian,bona-fide,0,2.609
327.wav,Barack Obama,bona-fide,0,3.492
328.wav,Ronald Reagan,bona-fide,0,4.0350625
329.wav,John Cleese,bona-fide,0,2.666
330.wav,Bernie Sanders,bona-fide,0,3.926
331.wav,Barack Obama,bona-fide,0,6.8290625
332.wav,Malcolm X,bona-fide,0,1.112
333.wav,FDR,bona-fide,0,0.837
334.wav,Barack Obama,bona-fide,0,5.021
335.wav,Bill Burr,bona-fide,0,5.253
336.wav,Robert Kardashian,bona-fide,0,2.1630625
337.wav,Bernie Sanders,bona-fide,0,2.0780625
338.wav,Ronald Reagan,spoof,1,2.701
339.wav,Ronald Reagan,spoof,1,5.9550625
340.wav,Ronald Reagan,bona-fide,0,2.0950625
341.wav,Bill Clinton,spoof,1,11.4320625
342.wav,Frank Sinatra,spoof,1,3.7760625
343.wav,Alec Guinness,bona-fide,0,2.5630625
344.wav,Kamala Harris,spoof,1,8.308
345.wav,Mark Zuckerberg,bona-fide,0,9.05
346.wav,Richard Nixon,spoof,1,3.531
347.wav,George W. Bush,spoof,1,2.443
348.wav,Donald Trump,bona-fide,0,5.4930625
349.wav,Alec Guinness,spoof,1,11.26
350.wav,Winston Churchill,bona-fide,0,1.536
351.wav,Bill Clinton,spoof,1,9.6500625
352.wav,Barack Obama,bona-fide,0,3.38
353.wav,Orson Welles,spoof,1,3.6120625
354.wav,Martin Luther King,spoof,1,1.946
355.wav,Bill Clinton,bona-fide,0,3.0190625
356.wav,Ronald Reagan,bona-fide,0,1.527
357.wav,Ronald Reagan,spoof,1,3.906
358.wav,Ayn Rand,bona-fide,0,3.5590625
359.wav,Louis Farrakhan,bona-fide,0,2.2740625
360.wav,Barack Obama,bona-fide,0,1.4220625
361.wav,Bill Clinton,spoof,1,2.08
362.wav,Bill Clinton,bona-fide,0,4.546
363.wav,Barack Obama,bona-fide,0,2.049
364.wav,Alexandria Ocasio-Cortez,bona-fide,0,6.648
365.wav,Barack Obama,bona-fide,0,8.834
366.wav,Bill Clinton,bona-fide,0,3.1720625
367.wav,Winston Churchill,bona-fide,0,2.2290625
368.wav,Arnold Schwarzenegger,spoof,1,5.461
369.wav,Barack Obama,bona-fide,0,1.922
370.wav,Christopher Hitchens,bona-fide,0,3.4690625
371.wav,Louis Farrakhan,bona-fide,0,2.449
372.wav,Alec Guinness,spoof,1,4.713
373.wav,Ayn Rand,bona-fide,0,1.2190625
374.wav,Christopher Hitchens,spoof,1,8.326
375.wav,Alec Guinness,spoof,1,5.503
376.wav,Alec Guinness,bona-fide,0,0.735
377.wav,Barack Obama,bona-fide,0,1.3750625
378.wav,Ayn Rand,bona-fide,0,3.562
379.wav,Christopher Hitchens,bona-fide,0,1.5390625
380.wav,Alec Guinness,spoof,1,6.524
381.wav,Barack Obama,bona-fide,0,1.1620625
382.wav,Arnold Schwarzenegger,bona-fide,0,1.866
383.wav,Ronald Reagan,bona-fide,0,3.0270625
384.wav,Donald Trump,bona-fide,0,3.203
385.wav,Louis Farrakhan,bona-fide,0,0.869
386.wav,Christopher Hitchens,bona-fide,0,1.8230625
387.wav,Alec Guinness,bona-fide,0,4.6570625
388.wav,Barack Obama,bona-fide,0,2.8080625
389.wav,Richard Nixon,bona-fide,0,1.5170625
390.wav,Louis Farrakhan,spoof,1,7.3570625
391.wav,Ronald Reagan,spoof,1,1.9080625
392.wav,Donald Trump,spoof,1,0.7760625
393.wav,Alec Guinness,spoof,1,4.506
394.wav,Barack Obama,bona-fide,0,0.8950625
395.wav,Martin Luther King,spoof,1,0.674
396.wav,Milton Friedman,bona-fide,0,4.5570625
397.wav,Mark Zuckerberg,spoof,1,9.886
398.wav,Bernie Sanders,spoof,1,3.648
399.wav,Alec Guinness,spoof,1,12.0120625
400.wav,Donald Trump,bona-fide,0,2.0050625
401.wav,Winston Churchill,bona-fide,0,2.244
402.wav,Alan Watts,spoof,1,2.688
403.wav,FDR,spoof,1,8.9690625
404.wav,Barack Obama,bona-fide,0,2.1720625
405.wav,Christopher Hitchens,bona-fide,0,5.7250625
406.wav,Donald Trump,bona-fide,0,5.4230625
407.wav,Donald Trump,bona-fide,0,2.62
408.wav,2Pac,spoof,1,2.313
409.wav,Bernie Sanders,bona-fide,0,3.3590625
410.wav,Boris Johnson,bona-fide,0,1.924
411.wav,Donald Trump,bona-fide,0,1.5670625
412.wav,JFK,bona-fide,0,2.962
413.wav,Donald Trump,bona-fide,0,2.9180625
414.wav,Dwight Eisenhower,bona-fide,0,2.914
415.wav,Christopher Hitchens,bona-fide,0,4.8250625
416.wav,Nelson Mandela,spoof,1,2.082
417.wav,Robert Kardashian,bona-fide,0,1.58
418.wav,Nick Offerman,bona-fide,0,1.1490625
419.wav,Barack Obama,bona-fide,0,3.952
420.wav,Barack Obama,bona-fide,0,9.4930625
421.wav,Bernie Sanders,spoof,1,1.3790625
422.wav,Bernie Sanders,spoof,1,6.989
423.wav,Louis Farrakhan,bona-fide,0,3.0250625
424.wav,Bernie Sanders,bona-fide,0,21.442
425.wav,George Carlin,bona-fide,0,2.4950625
426.wav,Dwight Eisenhower,bona-fide,0,2.1140625
427.wav,Mark Zuckerberg,spoof,1,5.3980625
428.wav,Barack Obama,bona-fide,0,4.1040625
429.wav,Bernie Sanders,bona-fide,0,3.444
430.wav,Alec Guinness,bona-fide,0,1.75
431.wav,Donald Trump,bona-fide,0,2.9370625
432.wav,Alan Watts,spoof,1,2.263
433.wav,Bob Ross,spoof,1,7.1950625
434.wav,Donald Trump,bona-fide,0,4.59
435.wav,JFK,bona-fide,0,3.7930625
436.wav,Mark Zuckerberg,bona-fide,0,10.3240625
437.wav,Boris Johnson,spoof,1,3.6590625
438.wav,Donald Trump,bona-fide,0,2.12
439.wav,Tucker Carlson,bona-fide,0,2.0960625
440.wav,Donald Trump,spoof,1,1.9550625
441.wav,Bernie Sanders,spoof,1,2.106
442.wav,Gilbert Gottfried,bona-fide,0,5.8880625
443.wav,Arnold Schwarzenegger,spoof,1,3.6540625
444.wav,Nelson Mandela,spoof,1,1.902
445.wav,Mark Zuckerberg,spoof,1,1.11
446.wav,Bernie Sanders,bona-fide,0,3.9740625
447.wav,Bernie Sanders,bona-fide,0,3.073
448.wav,Barack Obama,bona-fide,0,2.5110625
449.wav,Ayn Rand,bona-fide,0,2.531
450.wav,Ayn Rand,bona-fide,0,3.9340625
451.wav,Winston Churchill,spoof,1,14.572
452.wav,Bernie Sanders,bona-fide,0,2.961
453.wav,Donald Trump,bona-fide,0,4.4910625
454.wav,Ronald Reagan,spoof,1,5.402
455.wav,Robert Kardashian,bona-fide,0,3.8390625
456.wav,Donald Trump,bona-fide,0,2.105
457.wav,Ronald Reagan,spoof,1,4.002
458.wav,Christopher Hitchens,bona-fide,0,2.02
459.wav,Bernie Sanders,bona-fide,0,2.4240625
460.wav,Martin Luther King,spoof,1,3.984
461.wav,Alec Guinness,bona-fide,0,1.7780625
462.wav,Ayn Rand,bona-fide,0,2.987
463.wav,Ronald Reagan,spoof,1,2.0280625
464.wav,Bernie Sanders,spoof,1,6.37
465.wav,Barack Obama,bona-fide,0,4.1920625
466.wav,Alec Guinness,spoof,1,1.965
467.wav,Donald Trump,bona-fide,0,2.153
468.wav,Donald Trump,bona-fide,0,13.547
469.wav,Barack Obama,bona-fide,0,4.0730625
470.wav,Barack Obama,bona-fide,0,3.4750625
471.wav,Milton Friedman,bona-fide,0,2.4360625
472.wav,Alec Guinness,bona-fide,0,2.2140625
473.wav,Barack Obama,bona-fide,0,4.1900625
474.wav,Donald Trump,spoof,1,6.7580625
475.wav,Christopher Hitchens,bona-fide,0,5.303
476.wav,Donald Trump,bona-fide,0,1.432
477.wav,Alec Guinness,bona-fide,0,1.2170625
478.wav,Donald Trump,bona-fide,0,2.033
479.wav,Bernie Sanders,bona-fide,0,2.104
480.wav,Donald Trump,bona-fide,0,4.1120625
481.wav,Alec Guinness,spoof,1,8.4590625
482.wav,Donald Trump,bona-fide,0,4.1870625
483.wav,Barack Obama,bona-fide,0,2.49
484.wav,Alec Guinness,spoof,1,4.403
485.wav,Bill Clinton,bona-fide,0,1.8890625
486.wav,Ayn Rand,bona-fide,0,2.5390625
487.wav,Alec Guinness,bona-fide,0,0.605
488.wav,Alec Guinness,spoof,1,11.3120625
489.wav,Gilbert Gottfried,spoof,1,2.1180625
490.wav,Gilbert Gottfried,spoof,1,8.8900625
491.wav,Norm MacDonald,spoof,1,3.3170625
492.wav,Ronald Reagan,spoof,1,6.284
493.wav,Milton Friedman,spoof,1,2.036
494.wav,Richard Nixon,spoof,1,1.084
495.wav,Bernie Sanders,spoof,1,5.4320625
496.wav,FDR,bona-fide,0,1.9960625
497.wav,Alec Guinness,bona-fide,0,7.1480625
498.wav,Bernie Sanders,bona-fide,0,5.37
499.wav,Donald Trump,bona-fide,0,2.592
500.wav,Christopher Hitchens,bona-fide,0,5.221
501.wav,Christopher Hitchens,bona-fide,0,3.213
502.wav,Alec Guinness,spoof,1,3.1460625
503.wav,Bernie Sanders,bona-fide,0,1.901
504.wav,Christopher Hitchens,bona-fide,0,2.491
505.wav,Milton Friedman,spoof,1,1.085
506.wav,Bernie Sanders,bona-fide,0,2.727
507.wav,Arnold Schwarzenegger,bona-fide,0,3.0450625
508.wav,Barack Obama,bona-fide,0,2.123
509.wav,Gilbert Gottfried,spoof,1,1.864
510.wav,Alan Watts,bona-fide,0,5.822
511.wav,Bill Burr,bona-fide,0,6.776
512.wav,Louis C.K.,spoof,1,4.1510625
513.wav,FDR,bona-fide,0,1.6350625
514.wav,Richard Nixon,spoof,1,1.885
515.wav,Bill Clinton,spoof,1,4.5910625
516.wav,JFK,bona-fide,0,1.929
517.wav,Donald Trump,bona-fide,0,1.4360625
518.wav,Milton Friedman,bona-fide,0,3.3180625
519.wav,Alec Guinness,spoof,1,7.2150625
520.wav,Barack Obama,bona-fide,0,4.9780625
521.wav,Barack Obama,bona-fide,0,0.6570625
522.wav,Alec Guinness,bona-fide,0,2.521
523.wav,Louis Farrakhan,bona-fide,0,2.4700625
524.wav,Barack Obama,bona-fide,0,3.86
525.wav,Mark Zuckerberg,spoof,1,7.324
526.wav,The Notorious B.I.G.,spoof,1,1.02
527.wav,FDR,spoof,1,6.309
528.wav,Alan Watts,spoof,1,1.7680625
529.wav,Alec Guinness,bona-fide,0,4.425
530.wav,Barack Obama,bona-fide,0,4.3
531.wav,Ronald Reagan,spoof,1,7.4710625
532.wav,John Cleese,bona-fide,0,5.209
533.wav,Donald Trump,bona-fide,0,2.3180625
534.wav,Barack Obama,bona-fide,0,10.9320625
535.wav,The Notorious B.I.G.,spoof,1,1.9560625
536.wav,Winston Churchill,spoof,1,3.5770625
537.wav,JFK,spoof,1,2.341
538.wav,The Notorious B.I.G.,spoof,1,0.7580625
539.wav,Bernie Sanders,bona-fide,0,1.7390625
540.wav,Ayn Rand,spoof,1,5.8680625
541.wav,Ayn Rand,spoof,1,5.2130625
542.wav,Louis Farrakhan,spoof,1,7.207
543.wav,Winston Churchill,bona-fide,0,2.4960625
544.wav,Alec Guinness,spoof,1,9.821
545.wav,Milton Friedman,spoof,1,11.2320625
546.wav,Bernie Sanders,spoof,1,8.5350625
547.wav,FDR,spoof,1,8.2920625
