file,speaker,label,numeric_label
95.wav,Bill Clinton,bona-fide,0
96.wav,Alec Guinness,bona-fide,0
97.wav,Barack Obama,bona-fide,0
98.wav,Bernie Sanders,bona-fide,0
99.wav,Bill Burr,bona-fide,0
100.wav,Alexandria Ocasio-Cortez,bona-fide,0
101.wav,Christopher Hitchens,spoof,1
102.wav,Milton Friedman,bona-fide,0
103.wav,Bernie Sanders,spoof,1
104.wav,Bernie Sanders,bona-fide,0
105.wav,Christopher Hitchens,bona-fide,0
106.wav,FDR,bona-fide,0
107.wav,Alec Guinness,spoof,1
108.wav,Donald Trump,bona-fide,0
109.wav,Arnold Schwarzenegger,bona-fide,0
110.wav,Milton Friedman,spoof,1
111.wav,Barack Obama,bona-fide,0
112.wav,Barack Obama,bona-fide,0
113.wav,Donald Trump,bona-fide,0
114.wav,Ayn Rand,spoof,1
115.wav,Bill Clinton,bona-fide,0
116.wav,FDR,spoof,1
117.wav,Alan Watts,spoof,1
118.wav,Bernie Sanders,spoof,1
119.wav,Barack Obama,bona-fide,0
120.wav,Barack Obama,bona-fide,0
121.wav,Ayn Rand,bona-fide,0
122.wav,FDR,spoof,1
123.wav,Donald Trump,bona-fide,0
124.wav,Barack Obama,bona-fide,0
125.wav,Donald Trump,bona-fide,0
126.wav,Mitch Hedberg,spoof,1
127.wav,George W. Bush,spoof,1
128.wav,Alan Watts,spoof,1
129.wav,Milton Friedman,bona-fide,0
130.wav,Bernie Sanders,bona-fide,0
131.wav,Bill Clinton,bona-fide,0
132.wav,JFK,spoof,1
133.wav,Barack Obama,bona-fide,0
134.wav,Donald Trump,bona-fide,0
135.wav,Bernie Sanders,spoof,1
136.wav,Alec Guinness,spoof,1
137.wav,Bill Clinton,bona-fide,0
138.wav,Donald Trump,spoof,1
139.wav,Bernie Sanders,spoof,1
140.wav,Alec Guinness,bona-fide,0
141.wav,Mark Zuckerberg,bona-fide,0
142.wav,Mark Zuckerberg,bona-fide,0
143.wav,Ayn Rand,bona-fide,0
144.wav,Queen Elizabeth II,spoof,1
145.wav,Barack Obama,bona-fide,0
146.wav,The Notorious B.I.G.,spoof,1
147.wav,Alec Guinness,bona-fide,0
148.wav,Jerry Seinfeld,spoof,1
149.wav,Martin Luther King,bona-fide,0
150.wav,Queen Elizabeth II,spoof,1
151.wav,Martin Luther King,bona-fide,0
152.wav,Christopher Hitchens,bona-fide,0
153.wav,2Pac,spoof,1
154.wav,Winston Churchill,bona-fide,0
155.wav,Alec Guinness,spoof,1
156.wav,Martin Luther King,bona-fide,0
157.wav,Bill Clinton,bona-fide,0
158.wav,Donald Trump,bona-fide,0
159.wav,Bernie Sanders,spoof,1
160.wav,Martin Luther King,bona-fide,0
161.wav,Donald Trump,bona-fide,0
162.wav,Donald Trump,bona-fide,0
163.wav,Alec Guinness,spoof,1
164.wav,Barack Obama,bona-fide,0
165.wav,George W. Bush,spoof,1
166.wav,Alec Guinness,bona-fide,0
167.wav,Ayn Rand,bona-fide,0
168.wav,Alec Guinness,bona-fide,0
169.wav,Ayn Rand,bona-fide,0
170.wav,Tucker Carlson,spoof,1
171.wav,Donald Trump,bona-fide,0
172.wav,Ayn Rand,spoof,1
173.wav,Christopher Hitchens,bona-fide,0
174.wav,Alec Guinness,spoof,1
175.wav,Nelson Mandela,spoof,1
176.wav,Barack Obama,bona-fide,0
177.wav,JFK,bona-fide,0
178.wav,Ronald Reagan,bona-fide,0
179.wav,Ayn Rand,spoof,1
180.wav,Donald Trump,bona-fide,0
181.wav,Christopher Hitchens,bona-fide,0
182.wav,Ayn Rand,spoof,1
183.wav,Bernie Sanders,bona-fide,0
184.wav,Barack Obama,spoof,1
185.wav,Winston Churchill,bona-fide,0
186.wav,Alec Guinness,spoof,1
187.wav,Bernie Sanders,bona-fide,0
188.wav,Milton Friedman,spoof,1
189.wav,Bernie Sanders,bona-fide,0
190.wav,Barack Obama,spoof,1
191.wav,Mark Zuckerberg,spoof,1
192.wav,Winston Churchill,bona-fide,0
193.wav,The Notorious B.I.G.,spoof,1
194.wav,Bernie Sanders,bona-fide,0
195.wav,Barack Obama,bona-fide,0
196.wav,Bernie Sanders,bona-fide,0
197.wav,Barack Obama,bona-fide,0
198.wav,Bernie Sanders,bona-fide,0
199.wav,Barack Obama,bona-fide,0
200.wav,Donald Trump,bona-fide,0
201.wav,Donald Trump,bona-fide,0
202.wav,Ayn Rand,bona-fide,0
203.wav,Barack Obama,bona-fide,0
204.wav,Donald Trump,bona-fide,0
205.wav,Donald Trump,bona-fide,0
206.wav,Ayn Rand,bona-fide,0
207.wav,Jerry Seinfeld,spoof,1
208.wav,Bernie Sanders,bona-fide,0
209.wav,Nelson Mandela,spoof,1
210.wav,Alec Guinness,bona-fide,0
211.wav,Ronald Reagan,spoof,1
212.wav,Ronald Reagan,bona-fide,0
213.wav,FDR,bona-fide,0
214.wav,George W. Bush,spoof,1
215.wav,Alec Guinness,spoof,1
216.wav,Mark Zuckerberg,bona-fide,0
217.wav,Richard Nixon,bona-fide,0
218.wav,Donald Trump,bona-fide,0
219.wav,Donald Trump,bona-fide,0
220.wav,Ronald Reagan,bona-fide,0
221.wav,Richard Nixon,bona-fide,0
222.wav,Donald Trump,bona-fide,0
223.wav,Barack Obama,bona-fide,0
224.wav,John Cleese,spoof,1
225.wav,Bill Clinton,spoof,1
226.wav,Nelson Mandela,spoof,1
227.wav,Barack Obama,bona-fide,0
228.wav,Alec Guinness,bona-fide,0
229.wav,The Notorious B.I.G.,spoof,1
230.wav,Christopher Hitchens,bona-fide,0
231.wav,Frank Sinatra,spoof,1
232.wav,Alexandria Ocasio-Cortez,bona-fide,0
233.wav,Louis Farrakhan,bona-fide,0
234.wav,Winston Churchill,bona-fide,0
235.wav,Christopher Hitchens,bona-fide,0
236.wav,Alec Guinness,spoof,1
237.wav,Christopher Hitchens,bona-fide,0
238.wav,Bill Clinton,bona-fide,0
239.wav,Louis Farrakhan,bona-fide,0
240.wav,JFK,bona-fide,0
241.wav,Ronald Reagan,bona-fide,0
242.wav,Ayn Rand,bona-fide,0
243.wav,Donald Trump,bona-fide,0
244.wav,Barack Obama,bona-fide,0
245.wav,Ronald Reagan,bona-fide,0
246.wav,Martin Luther King,spoof,1
247.wav,Norm MacDonald,bona-fide,0
248.wav,Christopher Hitchens,bona-fide,0
249.wav,Alec Guinness,bona-fide,0
250.wav,Donald Trump,bona-fide,0
251.wav,Barack Obama,spoof,1
252.wav,Queen Elizabeth II,bona-fide,0
253.wav,Alexandria Ocasio-Cortez,spoof,1
254.wav,Bernie Sanders,bona-fide,0
255.wav,Alec Guinness,bona-fide,0
256.wav,Winston Churchill,bona-fide,0
257.wav,Richard Nixon,spoof,1
258.wav,Barack Obama,bona-fide,0
259.wav,Bernie Sanders,bona-fide,0
260.wav,Donald Trump,bona-fide,0
261.wav,Alec Guinness,spoof,1
262.wav,Arnold Schwarzenegger,bona-fide,0
263.wav,Ayn Rand,bona-fide,0
264.wav,Gilbert Gottfried,bona-fide,0
265.wav,Alec Guinness,spoof,1
266.wav,Bernie Sanders,bona-fide,0
267.wav,Alec Guinness,spoof,1
268.wav,Donald Trump,bona-fide,0
269.wav,Ayn Rand,spoof,1
270.wav,Queen Elizabeth II,spoof,1
271.wav,Ronald Reagan,spoof,1
272.wav,Barack Obama,bona-fide,0
273.wav,Mark Zuckerberg,spoof,1
274.wav,Bill Burr,bona-fide,0
275.wav,Alec Guinness,spoof,1
276.wav,Barack Obama,bona-fide,0
277.wav,Ayn Rand,spoof,1
278.wav,Bill Clinton,spoof,1
279.wav,Donald Trump,bona-fide,0
280.wav,Bernie Sanders,bona-fide,0
281.wav,Barack Obama,bona-fide,0
282.wav,Ayn Rand,spoof,1
283.wav,John Cleese,spoof,1
284.wav,Ayn Rand,bona-fide,0
285.wav,Winston Churchill,spoof,1
286.wav,George Carlin,bona-fide,0
287.wav,Bill Clinton,spoof,1
288.wav,Barack Obama,bona-fide,0
289.wav,Ayn Rand,bona-fide,0
290.wav,Donald Trump,bona-fide,0
291.wav,Winston Churchill,bona-fide,0
292.wav,Bernie Sanders,spoof,1
293.wav,Bernie Sanders,spoof,1
294.wav,Bernie Sanders,spoof,1
295.wav,Dwight Eisenhower,spoof,1
296.wav,Alec Guinness,spoof,1
297.wav,Malcolm X,spoof,1
298.wav,Ayn Rand,bona-fide,0
299.wav,Donald Trump,bona-fide,0
300.wav,Bill Clinton,bona-fide,0
301.wav,Barack Obama,bona-fide,0
302.wav,Alec Guinness,spoof,1
303.wav,Louis Farrakhan,spoof,1
304.wav,Barack Obama,bona-fide,0
305.wav,Martin Luther King,bona-fide,0
306.wav,George Carlin,bona-fide,0
307.wav,Ronald Reagan,spoof,1
308.wav,Ronald Reagan,bona-fide,0
309.wav,Bernie Sanders,bona-fide,0
310.wav,JFK,spoof,1
311.wav,Barack Obama,bona-fide,0
312.wav,Christopher Hitchens,spoof,1
313.wav,Nelson Mandela,bona-fide,0
314.wav,Christopher Hitchens,bona-fide,0
315.wav,Barack Obama,bona-fide,0
316.wav,Bernie Sanders,bona-fide,0
317.wav,Arnold Schwarzenegger,spoof,1
318.wav,Gilbert Gottfried,spoof,1
319.wav,Ronald Reagan,spoof,1
320.wav,FDR,bona-fide,0
321.wav,Christopher Hitchens,bona-fide,0
322.wav,Barack Obama,bona-fide,0
323.wav,Louis Farrakhan,bona-fide,0
324.wav,Barack Obama,spoof,1
325.wav,Barack Obama,bona-fide,0
326.wav,Robert Kardashian,bona-fide,0
327.wav,Barack Obama,bona-fide,0
328.wav,Ronald Reagan,bona-fide,0
329.wav,John Cleese,bona-fide,0
330.wav,Bernie Sanders,bona-fide,0
331.wav,Barack Obama,bona-fide,0
332.wav,Malcolm X,bona-fide,0
333.wav,FDR,bona-fide,0
334.wav,Barack Obama,bona-fide,0
335.wav,Bill Burr,bona-fide,0
336.wav,Robert Kardashian,bona-fide,0
337.wav,Bernie Sanders,bona-fide,0
338.wav,Ronald Reagan,spoof,1
339.wav,Ronald Reagan,spoof,1
340.wav,Ronald Reagan,bona-fide,0
341.wav,Bill Clinton,spoof,1
342.wav,Frank Sinatra,spoof,1
343.wav,Alec Guinness,bona-fide,0
344.wav,Kamala Harris,spoof,1
345.wav,Mark Zuckerberg,bona-fide,0
346.wav,Richard Nixon,spoof,1
347.wav,George W. Bush,spoof,1
348.wav,Donald Trump,bona-fide,0
349.wav,Alec Guinness,spoof,1
350.wav,Winston Churchill,bona-fide,0
351.wav,Bill Clinton,spoof,1
352.wav,Barack Obama,bona-fide,0
353.wav,Orson Welles,spoof,1
354.wav,Martin Luther King,spoof,1
355.wav,Bill Clinton,bona-fide,0
356.wav,Ronald Reagan,bona-fide,0
357.wav,Ronald Reagan,spoof,1
358.wav,Ayn Rand,bona-fide,0
359.wav,Louis Farrakhan,bona-fide,0
360.wav,Barack Obama,bona-fide,0
361.wav,Bill Clinton,spoof,1
362.wav,Bill Clinton,bona-fide,0
363.wav,Barack Obama,bona-fide,0
364.wav,Alexandria Ocasio-Cortez,bona-fide,0
365.wav,Barack Obama,bona-fide,0
366.wav,Bill Clinton,bona-fide,0
367.wav,Winston Churchill,bona-fide,0
368.wav,Arnold Schwarzenegger,spoof,1
369.wav,Barack Obama,bona-fide,0
370.wav,Christopher Hitchens,bona-fide,0
371.wav,Louis Farrakhan,bona-fide,0
372.wav,Alec Guinness,spoof,1
373.wav,Ayn Rand,bona-fide,0
374.wav,Christopher Hitchens,spoof,1
375.wav,Alec Guinness,spoof,1
376.wav,Alec Guinness,bona-fide,0
377.wav,Barack Obama,bona-fide,0
378.wav,Ayn Rand,bona-fide,0
379.wav,Christopher Hitchens,bona-fide,0
380.wav,Alec Guinness,spoof,1
381.wav,Barack Obama,bona-fide,0
382.wav,Arnold Schwarzenegger,bona-fide,0
383.wav,Ronald Reagan,bona-fide,0
384.wav,Donald Trump,bona-fide,0
385.wav,Louis Farrakhan,bona-fide,0
386.wav,Christopher Hitchens,bona-fide,0
387.wav,Alec Guinness,bona-fide,0
388.wav,Barack Obama,bona-fide,0
389.wav,Richard Nixon,bona-fide,0
390.wav,Louis Farrakhan,spoof,1
391.wav,Ronald Reagan,spoof,1
392.wav,Donald Trump,spoof,1
393.wav,Alec Guinness,spoof,1
394.wav,Barack Obama,bona-fide,0
395.wav,Martin Luther King,spoof,1
396.wav,Milton Friedman,bona-fide,0
397.wav,Mark Zuckerberg,spoof,1
398.wav,Bernie Sanders,spoof,1
399.wav,Alec Guinness,spoof,1
400.wav,Donald Trump,bona-fide,0
401.wav,Winston Churchill,bona-fide,0
402.wav,Alan Watts,spoof,1
403.wav,FDR,spoof,1
404.wav,Barack Obama,bona-fide,0
405.wav,Christopher Hitchens,bona-fide,0
406.wav,Donald Trump,bona-fide,0
407.wav,Donald Trump,bona-fide,0
408.wav,2Pac,spoof,1
409.wav,Bernie Sanders,bona-fide,0
410.wav,Boris Johnson,bona-fide,0
411.wav,Donald Trump,bona-fide,0
412.wav,JFK,bona-fide,0
413.wav,Donald Trump,bona-fide,0
414.wav,Dwight Eisenhower,bona-fide,0
415.wav,Christopher Hitchens,bona-fide,0
416.wav,Nelson Mandela,spoof,1
417.wav,Robert Kardashian,bona-fide,0
418.wav,Nick Offerman,bona-fide,0
419.wav,Barack Obama,bona-fide,0
420.wav,Barack Obama,bona-fide,0
421.wav,Bernie Sanders,spoof,1
422.wav,Bernie Sanders,spoof,1
423.wav,Louis Farrakhan,bona-fide,0
424.wav,Bernie Sanders,bona-fide,0
425.wav,George Carlin,bona-fide,0
426.wav,Dwight Eisenhower,bona-fide,0
427.wav,Mark Zuckerberg,spoof,1
428.wav,Barack Obama,bona-fide,0
429.wav,Bernie Sanders,bona-fide,0
430.wav,Alec Guinness,bona-fide,0
431.wav,Donald Trump,bona-fide,0
432.wav,Alan Watts,spoof,1
433.wav,Bob Ross,spoof,1
434.wav,Donald Trump,bona-fide,0
435.wav,JFK,bona-fide,0
436.wav,Mark Zuckerberg,bona-fide,0
437.wav,Boris Johnson,spoof,1
438.wav,Donald Trump,bona-fide,0
439.wav,Tucker Carlson,bona-fide,0
440.wav,Donald Trump,spoof,1
441.wav,Bernie Sanders,spoof,1
442.wav,Gilbert Gottfried,bona-fide,0
443.wav,Arnold Schwarzenegger,spoof,1
444.wav,Nelson Mandela,spoof,1
445.wav,Mark Zuckerberg,spoof,1
446.wav,Bernie Sanders,bona-fide,0
447.wav,Bernie Sanders,bona-fide,0
448.wav,Barack Obama,bona-fide,0
449.wav,Ayn Rand,bona-fide,0
450.wav,Ayn Rand,bona-fide,0
451.wav,Winston Churchill,spoof,1
452.wav,Bernie Sanders,bona-fide,0
453.wav,Donald Trump,bona-fide,0
454.wav,Ronald Reagan,spoof,1
455.wav,Robert Kardashian,bona-fide,0
456.wav,Donald Trump,bona-fide,0
457.wav,Ronald Reagan,spoof,1
458.wav,Christopher Hitchens,bona-fide,0
459.wav,Bernie Sanders,bona-fide,0
460.wav,Martin Luther King,spoof,1
461.wav,Alec Guinness,bona-fide,0
462.wav,Ayn Rand,bona-fide,0
463.wav,Ronald Reagan,spoof,1
464.wav,Bernie Sanders,spoof,1
465.wav,Barack Obama,bona-fide,0
466.wav,Alec Guinness,spoof,1
467.wav,Donald Trump,bona-fide,0
468.wav,Donald Trump,bona-fide,0
469.wav,Barack Obama,bona-fide,0
470.wav,Barack Obama,bona-fide,0
471.wav,Milton Friedman,bona-fide,0
472.wav,Alec Guinness,bona-fide,0
473.wav,Barack Obama,bona-fide,0
474.wav,Donald Trump,spoof,1
475.wav,Christopher Hitchens,bona-fide,0
476.wav,Donald Trump,bona-fide,0
477.wav,Alec Guinness,bona-fide,0
478.wav,Donald Trump,bona-fide,0
479.wav,Bernie Sanders,bona-fide,0
480.wav,Donald Trump,bona-fide,0
481.wav,Alec Guinness,spoof,1
482.wav,Donald Trump,bona-fide,0
483.wav,Barack Obama,bona-fide,0
484.wav,Alec Guinness,spoof,1
485.wav,Bill Clinton,bona-fide,0
486.wav,Ayn Rand,bona-fide,0
487.wav,Alec Guinness,bona-fide,0
488.wav,Alec Guinness,spoof,1
489.wav,Gilbert Gottfried,spoof,1
490.wav,Gilbert Gottfried,spoof,1
491.wav,Norm MacDonald,spoof,1
492.wav,Ronald Reagan,spoof,1
493.wav,Milton Friedman,spoof,1
494.wav,Richard Nixon,spoof,1
495.wav,Bernie Sanders,spoof,1
496.wav,FDR,bona-fide,0
497.wav,Alec Guinness,bona-fide,0
498.wav,Bernie Sanders,bona-fide,0
499.wav,Donald Trump,bona-fide,0
500.wav,Christopher Hitchens,bona-fide,0
501.wav,Christopher Hitchens,bona-fide,0
502.wav,Alec Guinness,spoof,1
503.wav,Bernie Sanders,bona-fide,0
504.wav,Christopher Hitchens,bona-fide,0
505.wav,Milton Friedman,spoof,1
506.wav,Bernie Sanders,bona-fide,0
507.wav,Arnold Schwarzenegger,bona-fide,0
508.wav,Barack Obama,bona-fide,0
509.wav,Gilbert Gottfried,spoof,1
510.wav,Alan Watts,bona-fide,0
511.wav,Bill Burr,bona-fide,0
512.wav,Louis C.K.,spoof,1
513.wav,FDR,bona-fide,0
514.wav,Richard Nixon,spoof,1
515.wav,Bill Clinton,spoof,1
516.wav,JFK,bona-fide,0
517.wav,Donald Trump,bona-fide,0
518.wav,Milton Friedman,bona-fide,0
519.wav,Alec Guinness,spoof,1
520.wav,Barack Obama,bona-fide,0
521.wav,Barack Obama,bona-fide,0
522.wav,Alec Guinness,bona-fide,0
523.wav,Louis Farrakhan,bona-fide,0
524.wav,Barack Obama,bona-fide,0
525.wav,Mark Zuckerberg,spoof,1
526.wav,The Notorious B.I.G.,spoof,1
527.wav,FDR,spoof,1
528.wav,Alan Watts,spoof,1
529.wav,Alec Guinness,bona-fide,0
530.wav,Barack Obama,bona-fide,0
531.wav,Ronald Reagan,spoof,1
532.wav,John Cleese,bona-fide,0
533.wav,Donald Trump,bona-fide,0
534.wav,Barack Obama,bona-fide,0
535.wav,The Notorious B.I.G.,spoof,1
536.wav,Winston Churchill,spoof,1
537.wav,JFK,spoof,1
538.wav,The Notorious B.I.G.,spoof,1
539.wav,Bernie Sanders,bona-fide,0
540.wav,Ayn Rand,spoof,1
541.wav,Ayn Rand,spoof,1
542.wav,Louis Farrakhan,spoof,1
543.wav,Winston Churchill,bona-fide,0
544.wav,Alec Guinness,spoof,1
545.wav,Milton Friedman,spoof,1
546.wav,Bernie Sanders,spoof,1
547.wav,FDR,spoof,1
548.wav,Bernie Sanders,bona-fide,0
549.wav,JFK,spoof,1
550.wav,Mark Zuckerberg,spoof,1
551.wav,Donald Trump,bona-fide,0
552.wav,Alexandria Ocasio-Cortez,bona-fide,0
553.wav,Donald Trump,bona-fide,0
554.wav,Winston Churchill,bona-fide,0
555.wav,Donald Trump,bona-fide,0
556.wav,Donald Trump,bona-fide,0
557.wav,Barack Obama,spoof,1
558.wav,Alec Guinness,bona-fide,0
559.wav,Ayn Rand,bona-fide,0
560.wav,Malcolm X,spoof,1
561.wav,Alec Guinness,spoof,1
562.wav,Alec Guinness,spoof,1
563.wav,Bill Clinton,bona-fide,0
564.wav,Mark Zuckerberg,bona-fide,0
565.wav,Queen Elizabeth II,spoof,1
566.wav,Alec Guinness,spoof,1
567.wav,Richard Nixon,spoof,1
568.wav,Adam Driver,bona-fide,0
569.wav,Bernie Sanders,spoof,1
570.wav,The Notorious B.I.G.,spoof,1
571.wav,Christopher Hitchens,spoof,1
572.wav,The Notorious B.I.G.,spoof,1
573.wav,Christopher Hitchens,spoof,1
574.wav,Alec Guinness,spoof,1
575.wav,2Pac,bona-fide,0
576.wav,Bernie Sanders,bona-fide,0
577.wav,Christopher Hitchens,spoof,1
578.wav,Ayn Rand,spoof,1
579.wav,Alec Guinness,spoof,1
580.wav,Alec Guinness,bona-fide,0
581.wav,JFK,bona-fide,0
582.wav,Donald Trump,bona-fide,0
583.wav,Christopher Hitchens,bona-fide,0
584.wav,Christopher Hitchens,bona-fide,0
585.wav,Christopher Hitchens,bona-fide,0
586.wav,Robert Kardashian,spoof,1
587.wav,Barack Obama,bona-fide,0
588.wav,Christopher Hitchens,bona-fide,0
589.wav,Barack Obama,bona-fide,0
590.wav,Alexandria Ocasio-Cortez,bona-fide,0
591.wav,Bernie Sanders,bona-fide,0
592.wav,Bernie Sanders,spoof,1
593.wav,Christopher Hitchens,spoof,1
594.wav,Bernie Sanders,spoof,1
595.wav,Winston Churchill,bona-fide,0
596.wav,Donald Trump,bona-fide,0
597.wav,Christopher Hitchens,spoof,1
598.wav,Winston Churchill,bona-fide,0
599.wav,Barack Obama,bona-fide,0
600.wav,Martin Luther King,bona-fide,0
601.wav,Bernie Sanders,bona-fide,0
602.wav,Donald Trump,bona-fide,0
603.wav,Mark Zuckerberg,bona-fide,0
604.wav,Bill Clinton,bona-fide,0
605.wav,Donald Trump,spoof,1
606.wav,Alec Guinness,bona-fide,0
607.wav,Donald Trump,bona-fide,0
608.wav,Lyndon Johnson,bona-fide,0
609.wav,Martin Luther King,spoof,1
610.wav,Bernie Sanders,bona-fide,0
611.wav,Bernie Sanders,bona-fide,0
612.wav,Ronald Reagan,bona-fide,0
613.wav,Bernie Sanders,bona-fide,0
614.wav,Alec Guinness,spoof,1
615.wav,Ayn Rand,bona-fide,0
616.wav,Mark Zuckerberg,spoof,1
617.wav,Ronald Reagan,bona-fide,0
618.wav,Martin Luther King,bona-fide,0
619.wav,Arnold Schwarzenegger,bona-fide,0
620.wav,Alec Guinness,bona-fide,0
621.wav,Mark Zuckerberg,spoof,1
622.wav,Barack Obama,bona-fide,0
623.wav,Bill Clinton,bona-fide,0
624.wav,Mark Zuckerberg,bona-fide,0
625.wav,Ronald Reagan,spoof,1
626.wav,Barack Obama,bona-fide,0
627.wav,Mark Zuckerberg,spoof,1
628.wav,Bill Clinton,bona-fide,0
629.wav,George Carlin,bona-fide,0
630.wav,Martin Luther King,bona-fide,0
631.wav,Alec Guinness,spoof,1
632.wav,Winston Churchill,bona-fide,0
633.wav,Ayn Rand,spoof,1
634.wav,Bernie Sanders,spoof,1
635.wav,Barack Obama,spoof,1
636.wav,Donald Trump,spoof,1
637.wav,Queen Elizabeth II,spoof,1
638.wav,Donald Trump,bona-fide,0
639.wav,Martin Luther King,spoof,1
640.wav,Barack Obama,bona-fide,0
641.wav,Martin Luther King,spoof,1
642.wav,Alec Guinness,bona-fide,0
643.wav,Donald Trump,bona-fide,0
644.wav,Bernie Sanders,bona-fide,0
645.wav,Donald Trump,bona-fide,0
646.wav,Bill Burr,bona-fide,0
647.wav,Ronald Reagan,spoof,1
648.wav,Milton Friedman,bona-fide,0
649.wav,Donald Trump,bona-fide,0
650.wav,Nick Offerman,bona-fide,0
651.wav,Bernie Sanders,spoof,1
652.wav,Bill Clinton,bona-fide,0
653.wav,George Carlin,bona-fide,0
654.wav,Alec Guinness,bona-fide,0
655.wav,Alan Watts,spoof,1
656.wav,Richard Nixon,bona-fide,0
657.wav,Bill Clinton,spoof,1
658.wav,Donald Trump,bona-fide,0
659.wav,Christopher Hitchens,spoof,1
660.wav,Bill Clinton,spoof,1
661.wav,Christopher Hitchens,spoof,1
662.wav,Bill Clinton,bona-fide,0
663.wav,Donald Trump,spoof,1
664.wav,Ayn Rand,spoof,1
665.wav,Christopher Hitchens,bona-fide,0
666.wav,Barack Obama,bona-fide,0
667.wav,Donald Trump,bona-fide,0
668.wav,Barack Obama,bona-fide,0
669.wav,Barack Obama,bona-fide,0
670.wav,Christopher Hitchens,bona-fide,0
671.wav,Robert Kardashian,bona-fide,0
672.wav,Barack Obama,bona-fide,0
673.wav,Barack Obama,bona-fide,0
674.wav,Alec Guinness,bona-fide,0
675.wav,Alec Guinness,bona-fide,0
676.wav,Barack Obama,bona-fide,0
677.wav,Richard Nixon,spoof,1
678.wav,Mark Zuckerberg,bona-fide,0
679.wav,Barack Obama,bona-fide,0
